id,title,content,processed_content,rating,sentiment_3_cls,sentiment_2_cls
3671566,Bình thường,"sau vài ngày sd ko kết nối được bluetooth chả lẽ gửi bảo hành thì ko có chuột xài. xài mấy con chuột cùi vài 3 trăm lại ngon vừa bluetooth cộng , chả hiểu sao 1 hãng danh tiếng như corsair",sau vài ngày sử dụng không kết nối được bluetooth chả lẽ gửi bảo hành thì không có chuột xài xài mấy con chuột cùi vài 3 trăm lại ngon vừa bluetooth cộng chả hiểu sao 1 hãng danh tiếng như corsair,3,neutral,positive
19353856,Bình thường,Mua từ Tháng 3/2023 sao thời gian dùng nhận xét: Nhận sóng yếu lúc gọi được lúc không. Cùng 1 vị trí cùng 1 mạng ĐT thì đầy sóng Đồng hồ mất sóng. Định vị chính xác khoản 70-80%. Pin dùng dước 1-2 ngày tùy cách dùng. Bộ nhớ ít. chụp được vài hình là đầy ..,mua từ tháng 32023 sao thời gian dùng nhận xét nhận sóng yếu lúc gọi được lúc không cùng 1 vị trí cùng 1 mạng điện thoại thì đầy sóng đồng hồ mất sóng định vị chính xác khoản 70 80 pin dùng dước 1 2 ngày tùy cách dùng bộ nhớ ít chụp được vài hình là đầy,3,neutral,positive
18101767,Hài lòng,cảm ơn shop đã hổ trợ nhiệt tình,cảm ơn cửa hàng đã hổ trợ nhiệt tình,4,positive,positive
19386320,Rất không hài lòng,"chuột kém so với lời đưa ra là chính hãng. mới dùng đc hơn 2 tuần đã thấy hiện tượng bấm không nhận, hoặc lúc được lúc không",chuột kém so với lời đưa ra là chính hãng mới dùng được hơn 2 tuần đã thấy hiện tượng bấm không nhận hoặc lúc được lúc không,1,negative,negative
17962904,Cực kì hài lòng,Cảm giác gõ tốt,cảm giác gõ tốt,5,positive,positive
13701188,Cực kì hài lòng,Tai nghe phù hợp với giá tiền. chất lượng ôn. to rõ ràng. Với tầm giá này chất lượng này mua khá okie. Có kèm theo 2 cỡ tai nhỏ và to hơn. Dây có lớp bọc ngoài nên chắc không lo hay bị đứt dây trong hay phải quấn thêm lớp bảo vệ. Mình khá thích em này.,tai nghe phù hợp với giá tiền chất lượng ôn to rõ ràng với tầm giá này chất lượng này mua khá okie có kèm theo 2 cỡ tai nhỏ và to hơn dây có lớp bọc ngoài nên chắc không lo hay bị đứt dây trong hay phải quấn thêm lớp bảo vệ mình khá thích em này,5,positive,positive
19725449,Rất không hài lòng,"Dây cat6 bấm sẵn từ nhà máy mà tốc độ và độ ổn định còn thua cả dây cat5e tự bấm nữa. Gói 300mgb mà chạy đc có hơn 100mgb trong khi dây tự bấm lên đc 290mgb. Mua về để chia wifi chạy camera để cho tín hiệu ổn định mà mất kết nối liên tục. Lại phải cắm lại dây cũ, chán, phí tiền.",dây cat6 bấm sẵn từ nhà máy mà tốc độ và độ ổn định còn thua cả dây cat5e tự bấm nữa gói 300mgb mà chạy được có hơn 100mgb trong khi dây tự bấm lên được 290mgb mua về để chia wifi chạy camera để cho tín hiệu ổn định mà mất kết nối liên tục lại phải cắm lại dây cũ chán phí tiền,1,negative,negative
2721251,hài lòng,"Sản phẩm nhận được đúng như mô tả của shop, led chuyển màu, vừa tay. Thời lượng sử dụng với độ bền thì chưa biết như với mức giá thì chất lượng rất ok. nhược điểm là DPI ko cao, di chuyển không quá mượt",sản phẩm nhận được đúng như mô tả của shop led chuyển màu vừa tay thời lượng sử dụng với độ bền thì chưa biết như với mức giá thì chất lượng rất ok nhược điểm là dpi không cao di chuyển không quá mượt,5,positive,positive
10436499,Cực kì hài lòng,"Đồng hồ đẹp, dễ thương, có nút chỉnh tuỳ theo tay của các bé. Định vị ok, nghe gọi 2 chiều cũng rất tiện. Nói chung là rất ưng",đồng hồ đẹp dễ thương có nút chỉnh tùy theo tay của các bé định vị ok nghe gọi 2 chiều cũng rất tiện nói chung là rất ưng,5,positive,positive
9796813,Cực kì hài lòng,"Tai nghe ổn, nghe được cho cái điện thoại google của mình nên thấy cũng okay. mà không biết shop để ở đâu mà thấy nó hơi cũ với bụi qtqd luôn",tai nghe ổn nghe được cho cái điện thoại google của mình nên thấy cũng okay mà không biết cửa hàng để ở đâu mà thấy nó hơi cũ với bụi qtqd luôn,5,positive,positive
12319829,Rất không hài lòng,"Miếng nút tai nghe không vừa vặn với lỗ tai người nghe khiến cho tai nghe dễ bị tụt ra ngoài và chỉ nghe được có mỗi dãy âm Trebe và Mid (hoàn toàn không có 1 âm Bass nào, phải dùng 2 tay nhét sâu vào lỗ tai thì mới nghe được âm Bass), có tặng kèm nút tai nhiều kích cỡ để thay thế  nhưng lỗ quá nhỏ không thể gắn vào tai nghe thì cũng bằng thừa. Đến nỗi phải dùng đến miếng nút tai nghe của hãng khác (kích cỡ to hơn) để thay vào thì mới nghe được 1 chút âm Bass.",miếng nút tai nghe không vừa vặn với lỗ tai người nghe khiến cho tai nghe dễ bị tụt ra ngoài và chỉ nghe được có mỗi dãy âm trebe và mid hoàn toàn không có 1 âm bass nào phải dùng 2 tay nhét sâu vào lỗ tai thì mới nghe được âm bass có tặng kèm nút tai nhiều kích cỡ để thay thế nhưng lỗ quá nhỏ không thể gắn vào tai nghe thì cũng bằng thừa đến nỗi phải dùng đến miếng nút tai nghe của hãng khác kích cỡ to hơn để thay vào thì mới nghe được 1 chút âm bass,1,negative,negative
19484635,Bình thường,Day nhỏ và  mỏng  ko yên  tâm,day nhỏ và mỏng không yên tâm,3,neutral,positive
13684986,Không hài lòng,"- Shop tư vấn nhiệt tình
- Giao hàng nhanh
- Sản phẩm nhận về k đúng với hình ảnh, keycaps mình muốn là màu trắng đen nhưng đặt về lại là màu nâu đen
- Switch mình đọc là otemu nhưng khi giao về lại là gateron
Mong nhận được phản hồi của shop
- Phím space bị cong nhẹ",cửa hàng tư vấn nhiệt tình giao hàng nhanh sản phẩm nhận về không đúng với hình ảnh keycaps mình muốn là màu trắng đen nhưng đặt về lại là màu nâu đen switch mình đọc là otemu nhưng khi giao về lại là gateron mong nhận được phản hồi của cửa hàng phím space bị cong nhẹ,2,negative,negative
17578220,Rất không hài lòng,"quá tệ, không như hình đã up trên store",quá tệ không như hình đã up trên cửa hàng,1,negative,negative
18635634,Cực kì hài lòng,Mẫu mã đẹp. Mua cho bé cháu dùng .  Hộp có seal nguyên vẹn. Đồng hồ nhìn rất xịn. Thấy ai mua cg đánh giá 5 * hy vọng dùng tốt.,mẫu mã đẹp mua cho bé cháu dùng hộp có seal nguyên vẹn đồng hồ nhìn rất xịn thấy ai mua cg đánh giá 5 star hy vọng dùng tốt,5,positive,positive
18125081,Cực kì hài lòng,Chuột di chuyển rất mượt dùng rất Ok mình rất hài lòng giá cả hợp lý shop Giao nhanh đóng gói rất cẩn thận Cảm ơn shop tặng shop năm sao,chuột di chuyển rất mượt dùng rất ok mình rất hài lòng giá cả hợp lý cửa hàng giao nhanh đóng gói rất cẩn thận cảm ơn cửa hàng tặng cửa hàng năm sao,5,positive,positive
17764348,Cực kì hài lòng,"Giao hàng nhanh chóng, bao bì được bọc kỹ lưỡng, phụ kiện đầy đủ, sản phẩm như giới thiệu. Cảm giác gõ phím tốt .",giao hàng nhanh chóng bao bì được bọc kỹ lưỡng phụ kiện đầy đủ sản phẩm như giới thiệu cảm giác gõ phím tốt,5,positive,positive
15443972,Cực kì hài lòng,"Đồng hồ trong sịn sò cứng cáp lắm cảm ứng mượt mỗi tội hơi to so với tay bé, mình cũng bán hàng onl mà cũng không được nhiệt tình như shop mua hàng xong còn được hd rất cẩn thận khổ thân 10h đem vẫn hỗ trợ.Giao hàng siêu nhanh GOODDDDDD",đồng hồ trong sịn sò cứng cáp lắm cảm ứng mượt mỗi tội hơi to so với tay bé mình cũng bán hàng online mà cũng không được nhiệt tình như cửa hàng mua hàng xong còn được hd rất cẩn thận khổ thân 10h đem vẫn hỗ trợ giao hàng siêu nhanh goodddddd,5,positive,positive
18720872,Cực kì hài lòng,"chúc cho các b nào còn dg chưa đủ tiền sớm rước em ipad về nha vì trc hôm nay mình vào xem lâu lắm nay mới mua dc
Giao hàng tiki now nhanh hơn dự kiến
Hàng chính hãng rất hài lòng",chúc cho các b nào còn dg chưa đủ tiền sớm rước em ipad về nha vì trước hôm nay mình vào xem lâu lắm nay mới mua được giao hàng tiki now nhanh hơn dự kiến hàng chính hãng rất hài lòng,5,positive,positive
6878744,Không hài lòng,"Chuột đẹp đấy nhưng cứ bị đơ ngoài, chán k biết ns j nên 2* z",chuột đẹp đấy nhưng cứ bị đơ ngoài chán không biết nói gì nên 2 vậy,2,negative,negative
2176235,Hữu ích,"Nghe ok lắm nha, nhét vào tai nghe nhạc, tập gym hay chạy bộ đều được, ko bị rớt ra ngoài như mấy loại khác",nghe ok lắm nha nhét vào tai nghe nhạc tập gym hay chạy bộ đều được không bị rớt ra ngoài như mấy loại khác,5,positive,positive
15088210,Cực kì hài lòng,Sản phẩm đc đổi trả nhanh gọn. Rất hài lòng,sản phẩm được đổi trả nhanh gọn rất hài lòng,5,positive,positive
2887276,Đông hồ ko hỗ trợ lắp sim a???,Mình muốn mua loại lắp đc sim. Nhưng khi nhận thì mới bit là loại này ko hỗ trợ lắp sim. Cần đc đổi lại mon tiki tiếp nhận,mình muốn mua loại lắp được sim nhưng khi nhận thì mới bit là loại này không hỗ trợ lắp sim cần được đổi lại mon tiki tiếp nhận,5,positive,positive
19094300,Cực kì hài lòng,"Chuột dùng tốt, chơi game, coding đều mượt mà, từ lúc mua tới giờ vẫn chưa thay pin mới.",chuột dùng tốt chơi game coding đều mượt mà từ lúc mua tới giờ vẫn chưa thay pin mới,5,positive,positive
10067582,Rất không hài lòng,"Lừa đảo, đặt đồng hồ này, giao đồng hồ reo là sao? Yêu cầu đổi trả hàng!",lừa đảo đặt đồng hồ này giao đồng hồ reo là sao yêu cầu đổi trả hàng,1,negative,negative
13061920,Cực kì hài lòng,"sản phẩm quá tuyệt, giá cả quá hợp lý. rất thích cách bấm dây, gọn gàng và sử dụng tốt. sẽ mua của shop khi có nhu cầu.",sản phẩm quá tuyệt giá cả quá hợp lý rất thích cách bấm dây gọn gàng và sử dụng tốt sẽ mua của cửa hàng khi có nhu cầu,5,positive,positive
12916635,Rất không hài lòng,giao hàng nhanh nhưng chưa Sài,giao hàng nhanh nhưng chưa xài,1,negative,negative
19726849,Cực kì hài lòng,"Rẻ mà tốt, 200k tưởng đồ chơi ai dè dùng cũng bền ra phết hehe",rẻ mà tốt 200k tưởng đồ chơi ai dè dùng cũng bền ra phết tích cực,5,positive,positive
3272434,Cực kì hài lòng,"Dùng thử thì nghe rất ổn, còn được tặng thêm 2 đôi mút với 2 kích cỡ nữa. Giao hàng sớm hơn dự kiến 2 ngày. Nói chung là khá thích nhưng không biết có sử dụng được lâu k",dùng thử thì nghe rất ổn còn được tặng thêm 2 đôi mút với 2 kích cỡ nữa giao hàng sớm hơn dự kiến 2 ngày nói chung là khá thích nhưng không biết có sử dụng được lâu không,5,positive,positive
14415761,Cực kì hài lòng,"sản phẩm còn tem chính hảng chưa khui,quá chất lượng,đặt hàng giao siêu nhanh 2 ngày có,ủng hộ shop lâu dài",sản phẩm còn tem chính hảng chưa khui quá chất lượng đặt hàng giao siêu nhanh 2 ngày có ủng hộ cửa hàng lâu dài,5,positive,positive
19512289,Cực kì hài lòng,Tốc độ gõ nhanh bàn phím êm,tốc độ gõ nhanh bàn phím êm,5,positive,positive
13368902,Cực kì hài lòng,"Shop giao hàng khá lâu vì do đang dịch căng thẳng nhưng giao đc là hay lắm rồi 💖 Hàng chất lượng giống hình ảnh shop đăng,đóng gói chắc chắn",cửa hàng giao hàng khá lâu vì do đang dịch căng thẳng nhưng giao được là hay lắm rồi sparkling_heart hàng chất lượng giống hình ảnh cửa hàng đăng đóng gói chắc chắn,5,positive,positive
2597335,Rất Hài Lòng,"Mình Rất hài lòng về đồng hồ và cách phục vụ của tiki, đồng hồ đẹp, dễ sử dụng,định vị chính xác vị trí của cob mình, nghe gọi rất dễ dàng, cảm ơn tiki nhìu nhé",mình rất hài lòng về đồng hồ và cách phục vụ của tiki đồng hồ đẹp dễ sử dụng định vị chính xác vị trí của cob mình nghe gọi rất dễ dàng cảm ơn tiki nhìu nhé,5,positive,positive
19512892,Cực kì hài lòng,Giao hàng nhanh. Sản phẩm đúng mô tả....! Máy đẹp rất ưng ý....,giao hàng nhanh sản phẩm đúng mô tả máy đẹp rất ưng ý,5,positive,positive
18872536,Cực kì hài lòng,"âm thanh cân bằng thoáng, âm trường rộng, hoàn hảo trong tầm giá so với sony và beyer, chất âm này chỉ có ở dòng tai nghe trên 1 tr của các hãng khác",âm thanh cân bằng thoáng âm trường rộng hoàn hảo trong tầm giá so với sony và beyer chất âm này chỉ có ở dòng tai nghe trên 1 tr của các hãng khác,5,positive,positive
9491166,Rất không hài lòng,"ĐẦU NỐI 1 RA 2 NHƯNG LÚC CẮM VÔ THÌ CẢ 2 MÁY TÍNH ĐỀU KHÔNG NHẬN ĐƯỢC, THÁO 1 DÂY RA THÌ NHẬN ĐƯỢC 1 MÁY, ĐÃ MUA 4 CỤC NHƯNG CỤC NÀO CŨNG BỊ TRƯỜNG HỢP NHƯ VẬY, RẤT KHÔNG HÀI LÒNG, SHOP NÊN ĐỔI THÀNH ĐẦU NỐI 1 RA 1 THÌ SẼ KHÔNG BỊ ĐÁNH GIÁ NHƯ VẬY.",đầu nối 1 ra 2 nhưng lúc cắm vô thì cả 2 máy tính đều không nhận được tháo 1 dây ra thì nhận được 1 máy đã mua 4 cục nhưng cục nào cũng bị trường hợp như vậy rất không hài lòng cửa hàng nên đổi thành đầu nối 1 ra 1 thì sẽ không bị đánh giá như vậy,1,negative,negative
17474836,Rất không hài lòng,có đổi sản phẩm khác dc k vậy,có đổi sản phẩm khác được không vậy,1,negative,negative
19367716,Bình thường,Dây hơi mỏng ra ngòa mua 35m có 50k dây to cứng cáp hơn,dây hơi mỏng ra ngòa mua 35m có 50k dây to cứng cáp hơn,3,neutral,positive
13637605,Cực kì hài lòng,"Đèn đẹp, phím nảy, êm, kết nối dễ dàng giao hàng nhanh nhưng giá có vẻ hơi nhỉnh nhưng tóm lại vẫn đáng mua và tuyệt vời!",đèn đẹp phím nảy êm kết nối dễ dàng giao hàng nhanh nhưng giá có vẻ hơi nhỉnh nhưng tóm lại vẫn đáng mua và tuyệt vời,5,positive,positive
16529891,Cực kì hài lòng,"tai nghe đẹp, âm thanh khá ổn trong tầm giá, sẽ ủng hộ tiki dài dài!",tai nghe đẹp âm thanh khá ổn trong tầm giá sẽ ủng hộ tiki dài dài,5,positive,positive
19695128,Cực kì hài lòng,"Chuột V8 đổi bao bì nhưng vẫn chất lượng, chuột êm, chơi game thích nhé!",chuột v8 đổi bao bì nhưng vẫn chất lượng chuột êm chơi game thích nhé,5,positive,positive
19417097,Rất không hài lòng,"Sản phẩm lỗi ko nhập mã đăng ký đc
Nhắn tin shop ko trả lời
Đúng là lãng phí tiền",sản phẩm lỗi không nhập mã đăng ký được nhắn tin cửa hàng không trả lời đúng là lãng phí tiền,1,negative,negative
19019800,Cực kì hài lòng,Vip,vip,5,positive,positive
14689000,Rất không hài lòng,"bàn phím dùng tốt, nhưng bị lỗi nhầm vị trí của nút windows và nút Alt. Khi nhấn phím Windows thì nhận là Alt, và ngược lại khi nhấn Alt thì hiểu là Windows. Rất mong được đổi lại sản phẩm",bàn phím dùng tốt nhưng bị lỗi nhầm vị trí của nút windows và nút alt khi nhấn phím windows thì nhận là alt và ngược lại khi nhấn alt thì hiểu là windows rất mong được đổi lại sản phẩm,1,negative,negative
4230505,2 năm vẫn ngon,sau hơn 2 năm thì vẫn ngon.sống vùng khí hậu mát mẻ nên không có cảm giác mồ hôi tai.chỉ thấy ấm áp.chất lượng vẫn như ngày đầu từ chất âm đến chất liệu cấu tạo.tiếc cái là nsx không làm thiết bị rút gọn giây nữa thì tuyệt vời luôn,sau hơn 2 năm thì vẫn ngon sống vùng khí hậu mát mẻ nên không có cảm giác mồ hôi tai chỉ thấy ấm áp chất lượng vẫn như ngày đầu từ chất âm đến chất liệu cấu tạo tiếc cái là nsx không làm thiết bị rút gọn giây nữa thì tuyệt vời luôn,5,positive,positive
19348478,Hài lòng,"kiểu dáng đẹp. nhưng ko thông minh cho lắm. chỉnh ngày giờ hơi khó chịu, chỉ tăng ko giảm. báo thức chỉ đặt đc một cái. để đầu giường coi giờ thì đc.",kiểu dáng đẹp nhưng không thông minh cho lắm chỉnh ngày giờ hơi khó chịu chỉ tăng không giảm báo thức chỉ đặt được một cái để đầu giường coi giờ thì đc,4,positive,positive
1951323,Cực kỳ hài lòng,"Sản phẩm được đóng gói rất kỹ, tai nghe rất đẹp âm thanh thì khỏi chê còn được tặng sạc dự phòng Xiaomi bao xịn lun. Gía mềm mà còn được khuyến mãi thật là quá ưng luôn. Sẽ ủng hộ Tiki dài dài.",sản phẩm được đóng gói rất kỹ tai nghe rất đẹp âm thanh thì khỏi chê còn được tặng sạc dự phòng xiaomi bao xịn lun giá mềm mà còn được khuyến mãi thật là quá ưng luôn sẽ ủng hộ tiki dài dài,5,positive,positive
4621962,mất Lòng tin,tiki gửi cho đồng hồ không đúng như  đã quảng cáo là có gọi online như điện thoại di động mà tôi mở ra không lắp được thẻ sim thì có gọi được không sao lại làm ăn như thế mà cũng lấy được tiền của người ta  à làm như thế thì mất khách  rồi,tiki gửi cho đồng hồ không đúng như đã quảng cáo là có gọi online như điện thoại di động mà tôi mở ra không lắp được thẻ sim thì có gọi được không sao lại làm ăn như thế mà cũng lấy được tiền của người ta à làm như thế thì mất khách rồi,1,negative,negative
14864079,Bình thường,"Tôi thấy việc vận chuyển không tốt, vì hộp đựng chuột và hộp bên ngoài bị bẹp hết",tôi thấy việc vận chuyển không tốt vì hộp đựng chuột và hộp bên ngoài bị bẹp hết,3,neutral,positive
16183118,Cực kì hài lòng,"nhận hàng nhưng ship ko cho ktra , có gọi và shop đã xin ship để cho coi mà họ bảo luật tiki  ko được, shop bảo cứ nhận đi có gì báo shop, lúc đầu cũng hơi lo nhưng mà về bóc hàng và lắp sim kết nối thì thấy yên tâm nhiều,đồng hồ đẹp hợp vs trẻ có cả camera như đt luôn, cảm ơn shop đã nhiệt tình hỗ trợ nhé",nhận hàng nhưng giao hàng không cho kiểm tra có gọi và cửa hàng đã xin giao hàng để cho coi mà họ bảo luật tiki không được cửa hàng bảo cứ nhận đi có gì báo shop lúc đầu cũng hơi lo nhưng mà về bóc hàng và lắp sim kết nối thì thấy yên tâm nhiều đồng hồ đẹp hợp với trẻ có cả camera như điện thoại luôn cảm ơn cửa hàng đã nhiệt tình hỗ trợ nhé,5,positive,positive
17475418,Cực kì hài lòng,Máy tầm trung rất tuyệt vời. Pin trâu để dùng bth ko game thì cũng hơn hai ngày. Chơi game máy mát ko nóng khiến tay đổ mồ hôi. Độ phân giải HD ổn áp. Nói chung máy như này quá ngon. Cảm chuẩn nét lắm luôn,máy tầm trung rất tuyệt vời pin trâu để dùng bình thường không game thì cũng hơn hai ngày chơi game máy mát không nóng khiến tay đổ mồ hôi độ phân giải hd ổn áp nói chung máy như này quá ngon cảm chuẩn nét lắm luôn,5,positive,positive
13146592,Không hài lòng,giao ko đúng hàng. mình đặt chuột g7+ mà giao n500 plus. đành lấy dùng tạm.,giao không đúng hàng mình đặt chuột g7 mà giao n500 plus đành lấy dùng tạm,2,negative,negative
15854227,Cực kì hài lòng,"giao sớm hơn 1 ngày, mình mua đúng lúc giá cũng khá rẻ, máy dùng ổn, đúng cấu hình, bản này ko có đèn nền bàn phím.
sau khi cài win 11 vào thì chạy khá nhanh, ổ ssd 256 đủ dùng cho nhu cầu văn phòng và giải trí.",giao sớm hơn 1 ngày mình mua đúng lúc giá cũng khá rẻ máy dùng ổn đúng cấu hình bản này không có đèn nền bàn phím sau khi cài win 11 vào thì chạy khá nhanh ổ ssd 256 đủ dùng cho nhu cầu văn phòng và giải trí,5,positive,positive
17852015,Hài lòng,vui lòng nhập nội dung trước khi bạn gửi,vui lòng nhập nội dung trước khi bạn gửi,4,positive,positive
1978062,Tốt trong tầm giá,"Chuột có phím rất nhạy và rất nảy, độ nặng vừa phải cho cảm giác đầm tay và dễ kiểm soát khi rê. 2 phím bên hông được bố trí khá tiện và có thể tùy chỉnh chức năng qua phầm mềm G-Hub. Ngoài ra, thông qua G-Hub, chuột có thể đc tùy biến về màu sắc cũng như độ sáng đèn, các chế độ đổi màu và đồng bộ màu chuyển với các thiết bị Logitech gaming khác. 
Điểm trừ là dây chuột khá mỏng manh, không bọc dây dù. Nếu để cố định 1 máy xài luôn thì không lo lắm.",chuột có phím rất nhạy và rất nảy độ nặng vừa phải cho cảm giác đầm tay và dễ kiểm soát khi rê 2 phím bên hông được bố trí khá tiện và có thể tùy chỉnh chức năng qua phầm mềm g hub ngoài ra thông qua g hub chuột có thể được tùy biến về màu sắc cũng như độ sáng đèn các chế độ đổi màu và đồng bộ màu chuyển với các thiết bị logitech gaming khác điểm trừ là dây chuột khá mỏng manh không bọc dây dù nếu để cố định 1 máy xài luôn thì không lo lắm,4,positive,positive
19851609,Cực kì hài lòng,Giao đúng mẫu . Máy nghe rõ nét rất ổn mà màn hình lướt nhạy,giao đúng mẫu máy nghe rõ nét rất ổn mà màn hình lướt nhạy,5,positive,positive
